fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
13,16,8,4,15,17,399,619,25,12,8,4,18,18,21,12,3,2,7,6,21,29,52,63,Ceará,Fortaleza,2,1,,,,13,2019-08-03,19:00,120
15,8,6,6,15,20,672,507,18,13,6,19,14,9,16,20,4,1,11,5,15,19,42,43,Santos,Goiás,6,1,,,,13,2019-08-04,11:00,121
18,14,4,7,6,23,469,775,24,15,16,3,20,26,20,10,4,2,9,3,21,26,58,46,Bahia,Flamengo,3,0,,,,13,2019-08-04,16:00,122
12,11,16,1,48,5,736,571,18,19,7,10,19,28,6,44,3,0,4,11,26,12,44,59,Avaí,Botafogo (RJ),0,2,,,,13,2019-08-04,16:00,123
19,13,6,6,19,24,546,805,18,10,10,16,12,11,20,14,0,2,4,5,10,18,41,31,Atlético Mineiro,Cruzeiro,2,0,,,,13,2019-08-04,19:00,124
12,15,8,5,35,16,730,570,12,20,8,7,24,22,17,31,0,1,6,15,16,14,51,66,Vasco da Gama,CSA,0,0,,,,13,2019-08-04,19:00,125
11,24,3,5,22,14,586,561,18,16,9,15,17,20,19,22,1,3,5,3,28,18,45,59,Corinthians,Palmeiras,1,1,,,,13,2019-08-04,19:00,126
17,16,11,3,31,13,785,464,18,9,17,11,14,13,7,29,3,0,1,5,17,19,39,52,Grêmio,Chapecoense,3,3,,,,13,2019-08-05,20:00,127
13,11,6,5,22,14,745,489,12,11,2,11,17,19,17,23,0,4,6,11,21,13,40,59,Corinthians,Goiás,2,0,,,,7,2019-08-07,19:15,128
20,11,2,4,14,16,484,655,22,19,7,11,16,17,18,19,4,1,15,9,20,15,43,68,Ceará,Chapecoense,4,1,,,,14,2019-08-10,17:00,129
21,15,5,2,16,9,456,548,12,18,14,10,16,28,13,24,1,1,9,13,19,22,68,54,São Paulo,Santos,3,2,,,,14,2019-08-10,17:00,130
14,15,4,3,19,9,693,549,20,23,7,10,20,15,8,22,0,1,4,8,25,18,43,40,Flamengo,Grêmio,3,1,,,,14,2019-08-10,19:00,131
14,13,3,5,8,21,539,718,20,8,13,14,9,16,16,6,4,2,13,10,13,27,66,32,Atlético Mineiro,Fluminense,2,1,,,,14,2019-08-10,21:00,132
16,8,9,3,25,14,750,655,22,24,12,18,21,22,12,29,3,0,9,13,20,18,55,59,Internacional,Corinthians,0,0,,,,14,2019-08-11,11:00,133
11,12,7,7,22,20,566,595,7,22,8,7,17,20,23,17,1,0,8,2,28,17,54,41,Botafogo (RJ),Atl Paranaense,2,1,,,,14,2019-08-11,16:00,134
15,19,8,3,26,15,454,589,17,10,11,9,21,15,11,19,1,1,3,7,16,12,51,45,Palmeiras,Bahia,2,2,,,,14,2019-08-11,16:00,135
15,15,5,1,27,10,554,565,9,14,17,9,22,26,15,19,3,2,6,5,21,17,44,41,Avaí,Cruzeiro,2,2,,,,14,2019-08-11,16:00,136
14,22,3,4,22,11,643,552,17,13,6,5,23,24,30,28,2,1,4,7,19,27,50,57,Goiás,Vasco da Gama,0,1,,,,14,2019-08-11,19:00,137
19,13,2,3,18,12,666,636,18,19,11,7,14,15,15,23,3,4,4,13,32,22,34,75,CSA,Fortaleza,0,2,,,,14,2019-08-12,20:00,138
17,13,7,2,23,8,550,700,14,7,3,2,6,16,11,22,2,2,4,8,18,16,41,44,Corinthians,Botafogo (RJ),2,0,,,,15,2019-08-17,17:00,139
14,14,7,0,26,8,635,549,8,13,9,12,15,8,3,19,0,4,5,11,15,10,57,67,Fortaleza,Internacional,0,1,,,,15,2019-08-17,17:00,140
,,,,,,1,0,,,,,,,,,,,,,,,,,Atl Paranaense,Atlético Mineiro,1,0,,,,15,2019-08-17,19:00,141
12,18,7,7,19,14,530,673,16,24,9,6,15,12,16,21,0,0,8,4,19,18,43,37,Vasco da Gama,Flamengo,1,4,,,,15,2019-08-17,19:00,142
13,14,3,2,11,9,808,459,10,14,5,15,16,20,16,11,0,1,5,8,24,10,30,52,Grêmio,Palmeiras,1,1,,,,15,2019-08-17,21:00,143
12,16,5,11,12,23,676,506,22,17,11,9,17,17,32,13,4,0,3,7,24,26,46,55,São Paulo,Ceará,1,0,,,,15,2019-08-18,16:00,144
7,13,6,6,18,28,634,671,19,20,10,7,22,12,27,29,1,1,10,10,21,17,67,64,Bahia,Goiás,1,1,,,,15,2019-08-18,16:00,145
16,7,8,4,22,12,730,446,13,8,11,7,12,14,9,23,1,1,6,8,15,21,43,38,Cruzeiro,Santos,2,0,,,,15,2019-08-18,16:00,146
7,16,7,1,37,8,919,535,13,24,14,9,19,10,7,36,1,1,3,14,22,13,22,82,Fluminense,CSA,0,1,,,,15,2019-08-18,16:00,147
25,15,5,3,19,15,536,660,20,14,24,17,18,27,11,11,2,2,12,11,31,23,57,50,Chapecoense,Avaí,1,0,,,,15,2019-08-18,19:00,148
,,,,0,1,0,2,,,,,,,,,,,,,,,,,Atl Paranaense,São Paulo,0,1,,,,13,2019-08-21,19:15,149
17,16,6,3,25,9,689,573,11,12,8,12,18,23,9,31,1,0,3,11,22,19,52,74,Atlético Mineiro,Bahia,0,1,,,,16,2019-08-24,11:00,150
,,,,1,0,5,3,,,,,,,,,,,,,,,,,Grêmio,Atl Paranaense,2,1,,,,16,2019-08-24,17:00,151
19,16,2,1,12,8,654,597,15,14,13,9,14,10,8,11,0,2,1,13,24,8,49,39,Vasco da Gama,São Paulo,2,0,,,,16,2019-08-25,16:00,152
9,14,5,5,22,27,376,783,7,18,10,8,7,15,12,15,0,3,8,7,25,17,65,60,Goiás,Internacional,2,1,,,,16,2019-08-25,16:00,153
14,22,3,5,11,15,663,475,15,16,14,12,13,17,13,14,1,0,4,10,14,10,46,44,Santos,Fortaleza,3,3,,,,16,2019-08-25,16:00,154
